experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
cell_transfer,power_avg_uW,RandomForest,240,80,NAND2,0,0.9423165804363117,0.5604025667847607,0.723472015186818,11.520385058640223
cell_transfer,power_avg_uW,GradientBoosting,240,80,NAND2,0,0.9773470914860598,0.34364189760048536,0.45337568334868966,6.359254822423585
cell_transfer,power_avg_uW,MLP,240,80,NAND2,0,0.9251162092475415,0.697991976370311,0.8243092022969446,20.10590176603549
cell_transfer,delay_avg_ns,RandomForest,245,75,NAND2,5,0.8032537340235351,0.05823557680367379,0.10116889722515116,23.92151724610427
cell_transfer,delay_avg_ns,GradientBoosting,245,75,NAND2,5,0.8664140249261869,0.052831817596883,0.08336316581764817,22.143812664571573
cell_transfer,delay_avg_ns,MLP,245,75,NAND2,5,0.8296042425276187,0.07092750590686224,0.09415061375184276,32.370810859725516
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,5,75,NAND2,5,-0.026063442118541058,0.1672004962824889,0.23103664741671184,82.05947663660206
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,5,75,NAND2,5,-0.1106397300111972,0.18630846823672645,0.24037005855395002,97.18967116061413
cell_transfer,power_avg_uW,RandomForest,245,75,NAND2,5,0.9486536510877569,0.52711222012873,0.6623503910061487,11.691498414565002
cell_transfer,power_avg_uW,GradientBoosting,245,75,NAND2,5,0.982045914868599,0.27811517486659076,0.3916649002971832,5.179219304237835
cell_transfer,power_avg_uW,MLP,245,75,NAND2,5,0.9386557985805307,0.5588157882621158,0.7239686690734212,19.679022410221524
cell_fewshot_from_scratch,power_avg_uW,RandomForest,5,75,NAND2,5,-1.216392163829556,3.6294959039822228,4.3516736284571085,132.59392878289228
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,5,75,NAND2,5,-0.18639563094726586,2.675581694963896,3.183814692378078,93.76223383734971
cell_transfer,delay_avg_ns,RandomForest,250,70,NAND2,10,0.8234261126904862,0.056193467929049806,0.09836772076673289,21.405157571236263
cell_transfer,delay_avg_ns,GradientBoosting,250,70,NAND2,10,0.8756389755144551,0.04704432877280206,0.08255274430624632,17.266680137466913
cell_transfer,delay_avg_ns,MLP,250,70,NAND2,10,0.8053642703527237,0.07350642471491237,0.10327629593730478,32.44724069412517
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,10,70,NAND2,10,0.14774269179837562,0.1261891539062075,0.21610993692659736,46.603639031544546
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,10,70,NAND2,10,0.182141482071993,0.12651020166863916,0.2117037057500085,42.31063386758123
cell_transfer,power_avg_uW,RandomForest,250,70,NAND2,10,0.9369792434179275,0.5827342828432142,0.7459437021892346,9.976883742422123
cell_transfer,power_avg_uW,GradientBoosting,250,70,NAND2,10,0.9747297997737244,0.36626634892284143,0.47235507613049693,6.1232841348881415
cell_transfer,power_avg_uW,MLP,250,70,NAND2,10,0.9582918030351939,0.5023996471360053,0.606841052924612,10.655269255396671
cell_fewshot_from_scratch,power_avg_uW,RandomForest,10,70,NAND2,10,0.7407177705585095,1.208303996916598,1.5130407383492044,23.303556508225086
